County,State,Violent,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,Population,h_grad,b_grad,o_occ_r,o_occ_mv,ps_pvt,hh_inc,ca_inc,o_m_cst,gos_ret,ps_pr_hh,lv_sm,tvl_t,in_out_ratio,mob_in_ratio,diabetes_percentage
"Accomack County, Virginia",VA,130.5126415,15.17588855,48.56284335,15.17588855,51.59802106,1150.332352,339.9399035,731.477828,78.91462045,3.03517771,32947,0.822,0.196,0.7,0.7,0.178,42260,24266,1147,771,2.35,0.934,22,0.804407713,0.044313595,12.7
"Albemarle County, Virginia",VA,82.33687008,0.935646251,27.13374128,19.64857127,34.61891128,1189.206385,135.6687064,992.7206722,60.81700631,7.485170007,106878,0.914,0.523,0.636,0.636,0.079,72265,39273,1769,1189,2.44,0.813,21.9,1.29273934,0.120277326,6.2
"Allegany County, Maryland",MD,31.88687093,1.386385692,4.159157077,9.704699847,16.63662831,465.8255927,72.09205601,382.6424511,11.09108554,0,72130,0.895,0.182,0.688,0.688,0.17,42771,22355,1060,672,2.34,0.846,20.9,1.066239316,0.055344517,13.2
"Alleghany County, Virginia",VA,76.94773966,0,19.23693492,6.412311638,51.29849311,442.449503,179.5447259,218.0185957,44.88618147,6.412311638,15595,0.865,0.158,0.761,0.761,0.145,46020,25952,950,653,2.21,0.893,24.6,0.652777778,0.05123437,13.2
"Amelia County, Virginia",VA,139.3944087,15.48826764,46.46480291,15.48826764,61.95307055,968.0167273,216.8357469,673.7396422,77.44133819,0,12913,0.808,0.145,0.836,0.836,0.114,58535,26118,1332,729,2.69,0.906,38,0.393004115,0.044373887,12.1
"Amherst County, Virginia",VA,101.1601808,3.161255651,41.09632346,18.9675339,37.93506781,881.9903266,110.6439478,701.7987545,69.54762432,6.322511301,31633,0.841,0.199,0.769,0.769,0.127,49677,24296,1127,731,2.53,0.884,24.1,1.032148076,0.066987007,12.1
"Anne Arundel County, Maryland",MD,361.2236208,2.463288208,25.16072956,86.5669856,247.0326175,2048.400094,310.9021617,1636.679065,100.8188674,5.806322205,568346,0.92,0.401,0.743,0.743,0.061,94502,43258,2089,1579,2.67,0.862,30.2,0.960957393,0.059762891,8.8
"Appomattox County, Virginia",VA,90.46849758,0,32.31017771,12.92407108,45.23424879,833.6025848,116.3166397,691.4378029,25.84814216,0,15475,0.849,0.206,0.81,0.81,0.119,54875,26347,1077,683,2.59,0.96,31.9,0.336057201,0.021260097,15.6
"Arlington County, Virginia",VA,157.7917844,0.434688111,24.34253423,44.77287546,88.24168659,1413.605738,73.89697892,1265.81178,73.89697892,2.173440556,230050,0.939,0.741,0.445,0.445,0.057,112138,67061,2855,1895,2.21,0.796,28.6,1.092935602,0.132349489,4.6
"Augusta County, Virginia",VA,86.67013347,5.333546675,14.66725336,4.000160006,62.66917343,953.3714682,274.6776538,622.6915743,56.00224009,6.666933344,74997,0.869,0.234,0.791,0.791,0.089,59544,30088,1277,857,2.46,0.881,23.7,0.876043793,0.062949185,14.8
"Baltimore County, Maryland",MD,529.1049859,4.211661248,38.26595076,180.1387682,306.4886057,2809.057719,442.9464301,2117.743609,248.3676804,19.6143081,831026,0.911,0.378,0.658,0.658,0.083,71810,37270,1724,1224,2.58,0.876,29.5,1.118000633,0.055283469,9.4
"Bath County, Virginia",VA,156.3896336,0,0,0,156.3896336,402.1447721,67.02412869,335.1206434,0,0,4476,0.875,0.159,0.739,0.739,0.101,44483,28195,966,478,2.34,0.9,24.5,2.170506912,0.105227882,3.8
"Bedford County, Virginia",VA,51.30836326,1.282709082,14.1097999,5.130836326,30.78501796,613.134941,137.2498717,445.1000513,30.78501796,2.565418163,77960,0.896,0.283,0.814,0.814,0.09,59405,30633,1292,816,2.48,0.882,26.9,1.060827251,0.061518728,12.8
"Bland County, Virginia",VA,15.35390757,0,15.35390757,0,0,736.9875633,107.477353,598.8023952,30.70781514,0,6513,0.882,0.142,0.826,0.826,0.137,46927,23505,960,639,2.24,0.871,32.8,2.789473684,0.113925994,13.4
