,Violent,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,Population,h_grad,b_grad,o_occ_r,o_occ_mv,ps_pvt,hh_inc,ca_inc,o_m_cst,gos_ret,ps_pr_hh,lv_sm,tvl_t,in_out_ratio,mob_in_ratio,diabetes_percentage
Violent,1,0.125871368,0.334814953,0.754720813,0.920508606,0.699548343,0.518618072,0.657836047,0.646857775,0.296691871,0.411322821,0.100001512,0.169171124,-0.044677947,-0.044677947,-0.13442871,0.178509052,0.168966029,0.172763682,0.247022028,0.150602253,0.050619301,0.079430169,0.0112452,-0.095515521,-0.149916844
Murder_and_nonnegligent_manslaughter,0.125871368,1,0.13340896,0.065836826,0.004229224,0.147887195,0.28170844,0.100141142,0.145446629,0.221077216,-0.04694328,-0.208893958,-0.145512552,-0.097043894,-0.097043894,0.144539303,-0.161458782,-0.161195943,-0.157900813,-0.137785186,-0.040920777,0.147685556,-0.093432075,-0.270755468,-0.224625029,0.185880482
Rape,0.334814953,0.13340896,1,0.010096839,0.065224731,0.218069015,0.234251201,0.18418803,0.254374049,0.343651396,-0.048111489,-0.283895708,-0.144949415,0.091703551,0.091703551,0.248421917,-0.204605951,-0.1659222,-0.179782443,-0.189592381,-0.088851187,0.172365992,-0.021355044,-0.171135734,-0.192898199,0.008638508
Robbery,0.754720813,0.065836826,0.010096839,1,0.592462342,0.740241787,0.421053732,0.723979396,0.689266195,0.234404783,0.666530876,0.284082268,0.405377468,-0.236474531,-0.236474531,-0.284657865,0.407892013,0.351037224,0.410540122,0.510259413,0.321080461,-0.227624573,0.053686919,-0.02740631,0.115152468,-0.18262507
Aggravated_assault,0.920508606,0.004229224,0.065224731,0.592462342,1,0.546269993,0.420247073,0.512461634,0.481489293,0.155972479,0.294973896,0.139485842,0.120821445,0.01959101,0.01959101,-0.168147675,0.15763553,0.155387711,0.138253203,0.198916194,0.102260422,0.096363824,0.104181388,0.120171122,-0.092574975,-0.147372164
Property_crime,0.699548343,0.147887195,0.218069015,0.740241787,0.546269993,1,0.621237896,0.981038789,0.770122243,0.365772389,0.4690365,0.238064949,0.346944736,-0.076882746,-0.076882746,-0.244946459,0.290161039,0.308706134,0.246209265,0.32094212,0.169632494,-0.133643827,-0.083569955,0.010840815,0.027882488,-0.150985492
Burglary,0.518618072,0.28170844,0.234251201,0.421053732,0.420247073,0.621237896,1,0.4642467,0.57871167,0.409247273,0.101868325,-0.153518954,-0.118054124,0.007910768,0.007910768,0.120661537,-0.180140976,-0.111664708,-0.179263862,-0.116201017,-0.189235868,0.175501389,-0.187706299,-0.042191563,-0.250955577,0.109810989
Larceny_theft,0.657836047,0.100141142,0.18418803,0.723979396,0.512461634,0.981038789,0.4642467,1,0.696323505,0.306624146,0.498331836,0.31413792,0.426085367,-0.08685313,-0.08685313,-0.309711601,0.374882928,0.381918609,0.324288251,0.393762355,0.232341627,-0.197134716,-0.052918974,0.034478914,0.097696945,-0.206502923
Motor_vehicle_theft,0.646857775,0.145446629,0.254374049,0.689266195,0.481489293,0.770122243,0.57871167,0.696323505,1,0.412348227,0.403207233,0.031648405,0.137503462,-0.069238467,-0.069238467,-0.090246138,0.109597618,0.107746392,0.089288891,0.148543293,0.123740876,-0.006885026,-0.053023317,-0.134733581,-0.098304825,0.029588438
Arson,0.296691871,0.221077216,0.343651396,0.234404783,0.155972479,0.365772389,0.409247273,0.306624146,0.412348227,1,0.029640733,-0.202856919,-0.135334055,0.008670555,0.008670555,0.13826334,-0.133466262,-0.126263376,-0.149892089,-0.105044001,-0.119423341,0.067984914,-0.050898202,-0.114451328,-0.133497007,0.166505911
Population,0.411322821,-0.04694328,-0.048111489,0.666530876,0.294973896,0.4690365,0.101868325,0.498331836,0.403207233,0.029640733,1,0.372687126,0.621064315,-0.255087033,-0.255087033,-0.349842705,0.597463071,0.559350061,0.599777226,0.635789305,0.425034547,-0.230733582,0.10513752,-0.01046993,0.042911523,-0.299957357
h_grad,0.100001512,-0.208893958,-0.283895708,0.284082268,0.139485842,0.238064949,-0.153518954,0.31413792,0.031648405,-0.202856919,0.372687126,1,0.774058669,0.064367786,0.064367786,-0.825940605,0.776189103,0.793459088,0.725220189,0.677582825,0.383204482,-0.254635891,0.184349708,0.126757027,0.208552578,-0.48745436
b_grad,0.169171124,-0.145512552,-0.144949415,0.405377468,0.120821445,0.346944736,-0.118054124,0.426085367,0.137503462,-0.135334055,0.621064315,0.774058669,1,-0.250859232,-0.250859232,-0.657871467,0.850969256,0.915397665,0.874840554,0.828136362,0.392342822,-0.364133365,0.083925062,0.039257242,0.292809629,-0.569363943
o_occ_r,-0.044677947,-0.097043894,0.091703551,-0.236474531,0.01959101,-0.076882746,0.007910768,-0.08685313,-0.069238467,0.008670555,-0.255087033,0.064367786,-0.250859232,1,1,-0.280321635,0.0339338,-0.038762161,-0.133279378,-0.154287639,0.049791974,0.503830362,0.33940782,0.051964154,-0.310205379,0.011019582
o_occ_mv,-0.044677947,-0.097043894,0.091703551,-0.236474531,0.01959101,-0.076882746,0.007910768,-0.08685313,-0.069238467,0.008670555,-0.255087033,0.064367786,-0.250859232,1,1,-0.280321635,0.0339338,-0.038762161,-0.133279378,-0.154287639,0.049791974,0.503830362,0.33940782,0.051964154,-0.310205379,0.011019582
