,Violent,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,Population
"Accomack County, Virginia",130.5126415151607,15.1758885482745,48.5628433544784,15.1758885482745,51.5980210641333,1150.3323519592072,339.93990348134884,731.4778280268309,78.9146204510274,3.0351777096549,32947.0
"Albemarle County, Virginia",82.3368700761616,0.9356462508654728,27.13374127509871,19.64857126817493,34.618911282022495,1189.2063848500159,135.66870637549354,992.7206721682666,60.817006306255735,7.4851700069237825,106878.0
"Allegany County, Maryland",31.88687092749203,1.3863856924996534,4.159157077498961,9.704699847497574,16.636628309995842,465.8255926798836,72.09205600998197,382.6424511299043,11.091085539997227,0.0,72130.0
"Alleghany County, Virginia",76.94773966014748,0.0,19.23693491503687,6.412311638345624,51.298493106764994,442.449503045848,179.54472587367746,218.0185957037512,44.886181468419366,6.412311638345624,15595.0
"Amelia County, Virginia",139.39440873538294,15.488267637264771,46.464802911794315,15.488267637264771,61.953070549059085,968.0167273290482,216.8357469217068,673.7396422210177,77.44133818632386,0.0,12913.0
"Amherst County, Virginia",101.16018082382323,3.161255650744476,41.09632345967819,18.967533904466855,37.93506780893371,881.9903265577087,110.64394777605665,701.7987544652736,69.54762431637847,6.322511301488952,31633.0
"Anne Arundel County, Maryland",361.2236208225271,2.4632882082393475,25.160729555587615,86.56698560383991,247.03261745486023,2048.4000943087485,310.9021617113519,1636.6790652173147,100.81886738008184,5.806322205135603,568346.0
"Appomattox County, Virginia",90.46849757673668,0.0,32.31017770597739,12.924071082390952,45.23424878836834,833.6025848142165,116.31663974151859,691.437802907916,25.848142164781905,0.0,15475.0
"Arlington County, Virginia",157.7917843946968,0.4346881112801565,24.342534231688763,44.772875461856124,88.24168658987176,1413.605737883069,73.8969789176266,1265.8117800478158,73.8969789176266,2.1734405564007826,230050.0
"Augusta County, Virginia",86.67013347200555,5.333546675200341,14.66725335680094,4.0001600064002565,62.66917343360401,953.3714681920611,274.67765377281756,622.6915743296399,56.00224008960358,6.666933344000427,74997.0
"Baltimore County, Maryland",529.1049858849182,4.211661247662528,38.26595076447668,180.13876822145156,306.48860565132736,2809.057719012402,442.94643007559336,2117.7436085032236,248.3676804335845,19.614308096256917,831026.0
"Bath County, Virginia",156.38963360142986,0.0,0.0,0.0,156.38963360142986,402.1447721179625,67.02412868632707,335.1206434316354,0.0,0.0,4476.0
"Bedford County, Virginia",51.3083632632119,1.2827090815802975,14.109799897383274,5.13083632632119,30.785017957927142,613.1349409953822,137.24987172909184,445.1000513083633,30.785017957927142,2.565418163160595,77960.0
"Bland County, Virginia",15.353907569476432,0.0,15.353907569476432,0.0,0.0,736.9875633348687,107.47735298633502,598.8023952095808,30.707815138952864,0.0,6513.0
"Botetourt County, Virginia",108.33258102374288,0.0,42.1293370647889,3.009238361770636,63.19400559718335,704.1617766543288,102.31410430020162,562.727573651109,39.120098703018265,0.0,33231.0
"Brunswick County, Virginia",98.50397094132857,0.0,67.72148002216339,6.156498183833036,24.625992735332144,504.83285107430896,123.12996367666072,350.92039647848304,30.78249091916518,0.0,16243.0
"Buchanan County, Virginia",238.97556136712058,9.017945711966815,94.68842997565154,0.0,135.26918567950221,1357.2008296510055,383.2626927585896,883.7586797727478,90.17945711966813,13.526918567950222,22178.0
"Buckingham County, Virginia",105.58423275457531,0.0,23.46316283435007,11.731581417175034,70.38948850305022,850.53965274519,152.51055842327546,633.5053965274519,64.52369779446269,5.865790708587517,17048.0
"Calvert County, Maryland",132.60128656124317,1.0958784013325882,15.342297618656234,13.150540815991057,103.01256972526328,1172.5898894258694,244.38088349716716,887.6615050793964,40.54750084930576,9.862905611993293,91251.0
"Campbell County, Virginia",203.81423788033192,10.918619886446354,27.296549716115884,14.558159848595137,151.04090842917455,1113.699228417528,189.2560780317368,871.6698209346339,52.77332945115737,0.0,54952.0
"Caroline County, Maryland",51.75038051750381,0.0,6.0882800608828,3.0441400304414,42.6179604261796,608.8280060882801,203.95738203957382,377.4733637747336,27.397260273972602,0.0,32850.0
"Caroline County, Virginia",122.60587182715886,3.313672211544834,49.70508317317251,9.941016634634503,59.64609980780701,1004.0426800980847,215.38869375041423,788.6539863476705,0.0,3.313672211544834,30178.0
"Carroll County, Maryland",59.64594169012741,1.192918833802548,11.92918833802548,5.368134752111467,41.15569976618791,481.3427494393282,113.32728921124206,348.332299470344,19.683160757742044,0.0,167656.0
"Carroll County, Virginia",60.95289695574142,0.0,16.93136026548373,3.386272053096746,40.63526463716095,1147.9462259997968,287.8331245132234,717.8896752565101,142.22342623006332,13.545088212386984,29531.0
"Cecil County, Maryland",87.7167334288471,1.9492607428632691,9.746303714316346,15.594085942906153,60.427083028761345,603.2961999161819,174.45883648626258,384.97899671549567,43.85836671442355,0.9746303714316346,102603.0
"Charles City County, Virginia",42.42681374628765,0.0,0.0,0.0,42.42681374628765,410.12586621411396,155.56498373638806,212.13406873143828,42.42681374628765,14.14227124876255,7071.0
"Charles County, Maryland",334.1682254842903,3.80457182714562,24.095621571922262,79.89600837005803,226.37202371516437,1461.5896769284425,218.12878475634886,1143.273834057259,100.18705811483467,19.65695444025237,157705.0
"Charlotte County, Virginia",214.36227224008573,8.244702778464836,32.978811113859344,8.244702778464836,164.89405556929674,882.1831972957375,214.36227224008573,601.8633028279331,65.95762222771869,0.0,12129.0
"Chesterfield County, Virginia",138.34440973543477,2.6547967753068504,27.72787743098266,57.22561937883655,50.736116150308696,1930.922187906516,323.2952517484787,1503.2049296626344,104.42200649540278,16.22375807131964,339009.0
"Clarke County, Virginia",76.52706275219145,6.957005704744677,20.871017114234036,0.0,48.699039933212745,647.0015305412551,180.88214832336163,431.33435369417003,34.78502852372338,0.0,14374.0
"Craig County, Virginia",38.774718883288095,0.0,19.387359441644048,0.0,19.387359441644048,445.90926715781313,77.54943776657619,348.9724699495929,19.387359441644048,0.0,5158.0
"Culpeper County, Virginia",53.91050855579738,0.0,3.9933710041331385,13.976798514465987,35.94033903719825,325.4597368368508,51.9138230537308,243.59563125212145,29.950282530998543,3.9933710041331385,50083.0
"Cumberland County, Virginia",196.8503937007874,0.0,51.80273518441774,0.0,145.04765851636967,486.9457107335267,165.76875259013676,279.73476999585574,41.44218814753419,20.721094073767095,9652.0
"Dickenson County, Virginia",173.703901656868,0.0,106.89470871191875,0.0,66.80919294494923,714.8583645109568,160.34206306787814,507.7498663816141,46.766435061464456,0.0,14968.0
"Dinwiddie County, Virginia",198.9766913018761,0.0,14.212620807276862,24.87208641273451,159.8919840818647,1076.6060261512223,202.5298465036953,763.9283683911314,110.14781125639568,0.0,28144.0
"Dorchester County, Maryland",31.000062000124,3.1000062000124005,0.0,3.1000062000124005,24.800049600099204,629.3012586025171,170.500341000682,409.20081840163687,49.60009920019841,0.0,32258.0
"Essex County, Virginia",44.95190146543199,0.0,8.990380293086398,0.0,35.96152117234559,566.393958464443,296.6825496718511,233.74988762024634,35.96152117234559,8.990380293086398,11123.0
"Fairfax County, Virginia",92.38994881667094,1.756462905259904,15.193404130498168,40.48646996624078,34.95361181467209,1274.4016609113232,72.19062540618204,1130.810818406326,71.40021709881509,2.6346943578898556,1138652.0
"Fauquier County, Virginia",55.01744632179415,0.0,11.58262027827245,2.8956550695681127,40.53917097395358,628.3571500962805,76.734859343555,508.1874647092038,43.434826043521696,1.4478275347840563,69069.0
"Floyd County, Virginia",139.85124912592968,0.0,69.92562456296484,0.0,69.92562456296484,673.8287457885704,203.41999872862502,432.2674972983281,38.14124976161719,0.0,15731.0
"Fluvanna County, Virginia",114.19435879867535,0.0,11.419435879867534,11.419435879867534,91.35548703894027,700.3920672985421,121.80731605192037,532.9070077271516,45.677743519470134,15.225914506490046,26271.0
"Franklin County, Virginia",131.9802386345396,0.0,30.31978455117801,7.1340669532183565,94.52638713014322,906.0265030587312,156.94947297080384,677.7363605557438,71.34066953218355,7.1340669532183565,56069.0
"Frederick County, Maryland",74.72000193868114,0.40389190237124933,5.250594730826242,12.116757071137481,56.94875823434616,599.7794750213053,101.37686749518359,476.5924447980742,21.810162728047466,0.0,247591.0
"Frederick County, Virginia",80.54867864630837,2.3690787837149525,39.08979993129672,9.47631513485981,29.613484796436907,1190.4620888167635,190.71084208905367,926.3098044325465,73.44144229516353,2.3690787837149525,84421.0
"Garrett County, Maryland",152.93118096856415,0.0,3.398470688190314,0.0,149.53271028037383,812.2344944774851,156.32965165675446,635.5140186915887,20.390824129141887,3.398470688190314,29425.0
"Giles County, Virginia",53.39028296849973,0.0,5.9322536631666365,0.0,47.45802930533309,427.12226374799786,94.91605861066618,314.4094441478318,17.79676098949991,5.9322536631666365,16857.0
"Gloucester County, Virginia",99.42494760036544,2.6871607459558233,34.9330896974257,16.12296447573494,45.681732681248995,1346.2675337238672,163.9168055033052,1082.9257806201967,99.42494760036544,10.748642983823293,37214.0
"Goochland County, Virginia",79.40709370037057,0.0,4.411505205576143,0.0,74.99558849479442,745.544379742368,92.641609317099,608.7877183695077,44.11505205576143,4.411505205576143,22668.0
"Grayson County, Virginia",112.53061494671344,13.238895876083935,39.716687628251805,6.619447938041968,52.95558350433574,1019.394982458463,139.00840669888132,807.57264844112,72.81392731846164,6.619447938041968,15107.0
"Greene County, Virginia",113.57183418512209,0.0,10.324712198647463,41.29884879458985,61.94827319188478,929.2240978782717,87.76005368850343,805.3275514945021,36.13649269526612,10.324712198647463,19371.0
"Greensville County, Virginia",76.88364941055869,0.0,17.085255424568597,42.713138561421495,17.085255424568597,837.1775158038613,222.10832051939178,546.7281735861951,68.34102169827439,8.542627712284299,11706.0
"Halifax County, Virginia",105.7384545038866,2.8577960676726106,31.435756744398724,8.573388203017831,62.87151348879745,843.0498399634203,291.4951989026063,480.10973936899865,71.44490169181526,8.573388203017831,34992.0
"Hanover County, Virginia",93.87692543489922,3.831711242240785,19.158556211203923,9.579278105601961,61.30737987585256,1007.7400567093263,66.09701892865353,882.2515135259407,59.39152425473216,8.621350295041765,104392.0
"Harford County, Maryland",152.96854584276107,2.390133528793142,9.560534115172567,32.26680263870741,108.75107556008794,968.0040791612224,180.45508142388223,762.8509512731445,24.698046464195798,0.0,251032.0
"Henrico County, Virginia",185.6043319928576,4.900444409052346,11.944833247065093,62.17438843985163,106.58466589688852,2472.2742043669086,351.30060857394005,1972.1225968680035,148.850998924965,6.738111062446976,326501.0
"Henry County, Virginia",221.59587909417826,5.831470502478375,40.820293517348624,56.37088152395763,118.57323355039361,2530.858198075615,526.7761687238799,1858.2952667897755,145.78676256195936,29.157352512391874,51445.0
"Highland County, Virginia",180.50541516245488,0.0,0.0,0.0,180.50541516245488,1083.0324909747292,270.7581227436823,767.1480144404331,45.12635379061372,0.0,2216.0
"Howard County, Maryland",224.44071077094753,1.8913543042495577,20.80489734674514,63.36036919236019,138.38408992759267,1740.676411344343,264.7896025949381,1380.3734163848023,95.51339236460268,0.9456771521247789,317233.0
"Isle of Wight County, Virginia",84.70871133457209,0.0,16.395234451852662,8.197617225926331,60.115859656793084,819.7617225926331,172.14996174445292,609.3562137938573,38.255547054322875,16.395234451852662,36596.0
"James City County, Virginia",120.9612386430837,1.34401376270093,22.84823396591581,16.12816515241116,80.6408257620558,1536.2077307671632,165.31369281221438,1337.2936938874254,33.60034406752325,2.68802752540186,74404.0
"Kent County, Maryland",40.54738976178408,0.0,5.06842372022301,15.205271160669032,20.27369488089204,658.8950836289914,268.62645717181954,380.1317790167258,10.13684744044602,0.0,19730.0
"King George County, Virginia",96.21305418719211,0.0,38.48522167487685,7.697044334975369,50.03078817733991,1012.1613300492611,103.91009852216749,846.6748768472906,61.576354679802954,0.0,25984.0
"King William County, Virginia",67.34419003305987,6.122199093914534,6.122199093914534,6.122199093914534,48.97759275131627,483.65372841924824,55.099791845230804,416.30953838618836,12.244398187829068,0.0,16334.0
"King and Queen County, Virginia",251.43176421287887,13.968431345159939,41.90529403547981,27.936862690319877,167.62117614191925,698.4215672579969,265.40019555803883,377.1476463193183,55.873725380639755,0.0,7159.0
"Lancaster County, Virginia",118.48341232227489,0.0,72.91286912139992,0.0,45.57054320087496,984.323733138899,246.08093328472475,665.3299307327744,72.91286912139992,18.22821728034998,10972.0
"Lee County, Virginia",62.03730509946648,0.0,20.67910169982216,0.0,41.35820339964432,1220.0670002895074,74.44476611935978,1141.4864138301832,4.135820339964432,8.271640679928865,24179.0
"Loudoun County, Virginia",87.05903690940418,0.5182085530321678,29.537887522833568,11.91879671973986,45.0841441137986,685.8490199380741,50.78443819715244,599.8264001347342,35.23818160618741,8.550441125030769,385945.0
"Louisa County, Virginia",161.7663752979907,5.676013168350551,31.21807242592803,11.352026336701101,113.52026336701101,1007.4923373822228,110.68225678283574,831.5359291633557,65.27415143603133,5.676013168350551,35236.0
"Lunenburg County, Virginia",40.73983541106494,0.0,16.295934164425976,0.0,24.443901246638962,439.9902224395014,130.3674733154078,268.8829137130286,40.73983541106494,8.147967082212988,12273.0
"Madison County, Virginia",84.11072029362288,0.0,22.93928735280624,7.6464291176020796,53.525003823214554,756.9964826426059,61.171432940816636,634.6536167609727,61.171432940816636,0.0,13078.0
"Mathews County, Virginia",45.54771122751082,11.386927806877704,0.0,0.0,34.160783420633116,831.2457299020724,273.28626736506493,523.7986791163744,34.160783420633116,0.0,8782.0
"Mecklenburg County, Virginia",103.5866891104493,6.474168069403081,35.60792438171695,12.948336138806162,48.55626052052311,708.9214035996374,271.91505891492943,394.924252233588,42.08209245112003,3.2370840347015406,30892.0
"Middlesex County, Virginia",120.6160697717573,0.0,74.2252737056968,9.2781592132121,37.1126368528484,1150.4917424383002,213.39766190387826,844.3124884023009,92.78159213212099,18.5563184264242,10778.0
"Montgomery County, Maryland",167.55072265230208,1.3411721653128812,31.709141908468833,63.130889781513474,71.36951879700689,1443.2928459002762,177.70531190395675,1185.4045981129707,80.18293588334868,5.939476732099902,1043863.0
"Montgomery County, Virginia",45.63801951278879,1.0141782113953064,13.184316748138983,2.028356422790613,29.411168130463885,307.29599805277786,63.8932273179043,215.00578081580494,28.39698991906858,2.028356422790613,98602.0
"Nelson County, Virginia",161.40964422624253,6.725401842760106,47.07781289932073,6.725401842760106,100.88102764140157,1062.6134911560966,201.76205528280315,800.3228192884526,60.52861658484095,20.176205528280317,14869.0
"New Kent County, Virginia",61.4744408190287,0.0,28.37281883955171,0.0,33.101621979476995,1253.1328320802004,212.79614129663784,983.5910531044592,56.74563767910342,9.457606279850571,21147.0
"Northampton County, Virginia",65.90328692643546,24.713732597413298,0.0,16.475821731608864,24.713732597413298,733.1740670565945,255.37523683993737,444.8471867534393,32.95164346321773,0.0,12139.0
"Northumberland County, Virginia",180.00327278677793,0.0,49.09180166912125,16.363933889707084,114.5475372279496,826.3786614302078,278.1868761250205,523.6458844706267,24.545900834560626,8.181966944853542,12222.0
"Nottoway County, Virginia",38.47386983007374,12.824623276691248,6.412311638345624,0.0,19.23693491503687,429.6248797691568,76.94773966014748,327.0278935556268,25.649246553382497,6.412311638345624,15595.0
"Orange County, Virginia",59.099991557144065,0.0,16.88571187346973,5.628570624489911,36.585709059184424,590.9999155714406,121.01426842653308,439.02850871021303,30.957138434694507,0.0,35533.0
"Page County, Virginia",109.91798427327302,21.13807389870635,46.50376257715397,4.227614779741271,38.048533017671424,634.1422169611905,164.87697640990953,426.98909275386825,42.2761477974127,21.13807389870635,23654.0
"Patrick County, Virginia",184.1209618925403,5.579423087652737,50.21480778887464,33.47653852591642,94.85019249009652,1272.1084639848239,189.70038498019304,987.5578865145344,94.85019249009652,11.158846175305474,17923.0
"Pittsylvania County, Virginia",74.57000664645712,3.2421742020198745,27.558480717168933,3.2421742020198745,40.527177525248426,594.938966070647,189.66719081816265,372.85003323228557,32.42174202019875,19.453045212119246,61687.0
"Powhatan County, Virginia",63.284463664170445,3.515803536898358,24.61062475828851,7.031607073796716,28.126428295186862,738.3187427486552,108.98990964384909,562.5285659037373,66.8002672010688,7.031607073796716,28443.0
"Prince Edward County, Virginia",51.85377236193933,0.0,17.28459078731311,4.321147696828278,30.248033877797944,375.9398496240601,90.74410163339383,263.5900095065249,21.605738484141387,4.321147696828278,23142.0
"Prince George County, Virginia",105.69427929713305,0.0,18.496498876998285,34.35064077156824,52.847139648566525,1006.7380103051922,179.68027480512617,771.5682388690713,55.48949663099485,2.6423569824283257,37845.0
"Prince George's County, Maryland",1.1012621565576308,0.0,0.0,0.0,1.1012621565576308,0.11012621565576307,0.0,0.11012621565576307,0.0,0.0,908049.0
"Prince William County, Virginia",185.18925331165835,4.832934250126315,18.23334285274928,50.526130796775114,111.59684541200764,1133.3230816546209,120.6036774236067,940.2253904791196,72.49401375189473,2.1967882955119613,455210.0
"Pulaski County, Virginia",140.33856679238662,5.84744028301611,17.542320849048327,8.771160424524163,108.17764523579802,1774.6981258953892,233.8976113206444,1508.6395930181563,32.160921556588605,11.69488056603222,34203.0
"Queen Anne's County, Maryland",147.15199574894234,0.0,12.262666312411863,22.481554906088416,112.40777453044207,964.6630832430665,216.64043818594288,725.5410901510352,22.481554906088416,8.175110874941241,48929.0
"Rappahannock County, Virginia",13.535462912831619,0.0,13.535462912831619,0.0,0.0,365.4574986464537,121.81916621548457,243.63833243096914,0.0,0.0,7388.0
"Richmond County, Virginia",102.57579211306131,0.0,11.397310234784591,0.0,91.17848187827673,490.08434009573745,136.7677228174151,296.33006610439935,56.986551173922955,0.0,8774.0
"Roanoke County, Virginia",177.60100392423774,1.0634790654145974,26.586976635364934,12.761748784975168,137.18879943848304,1242.1435484042497,179.72796205506694,1018.8129446671843,43.60264168199849,1.0634790654145974,94031.0
"Rockbridge County, Virginia",102.71525544837442,0.0,26.795284030010716,0.0,75.9199714183637,1058.4137191854234,200.96463022508038,790.4608788853162,66.9882100750268,8.931761343336905,22392.0
"Rockingham County, Virginia",87.78089887640449,1.2540128410914928,33.858346709470304,6.270064205457463,46.398475120385235,453.9526484751204,145.46548956661317,299.70906902086676,8.77808988764045,6.270064205457463,79744.0
"Russell County, Virginia",127.87723785166241,3.653635367190354,43.843624406284256,3.653635367190354,76.72634271099744,719.7661673364998,281.3299232736573,398.2462550237487,40.189989039093895,14.614541468761416,27370.0
"Scott County, Virginia",72.9594163246694,4.559963520291838,31.919744642042865,0.0,36.4797081623347,807.1135430916553,150.47879616963064,574.5554035567716,82.07934336525308,9.119927040583676,21930.0
"Shenandoah County, Virginia",94.96236247828604,2.3161551823972206,37.05848291835553,0.0,55.58772437753329,530.3995367689636,141.28546612623046,377.53329473074695,11.580775911986104,2.3161551823972206,43175.0
"Smyth County, Virginia",96.58103148541626,3.2193677161805425,28.97430944562488,3.2193677161805425,61.16798660743031,833.8162384907604,183.5039598222909,605.2411306419419,45.07114802652759,16.096838580902713,31062.0
"Somerset County, Maryland",92.56402344955261,0.0,7.71366862079605,3.856834310398025,80.99352051835854,200.55538414069733,57.85251465597038,134.98920086393088,7.71366862079605,0.0,25928.0
"Southampton County, Virginia",127.37442543058093,22.152073987927118,33.22811098189068,22.152073987927118,49.84216647283602,947.0011629838843,265.82488785512544,614.7200531649776,66.45622196378136,27.6900924849089,18057.0
"Spotsylvania County, Virginia",171.95666994924628,2.2725551094614045,26.51314294371638,40.90599197030528,102.26497992576319,1282.4786001060527,146.20104537535033,1072.646011665783,63.63154306491932,0.7575183698204682,132010.0
"St. Mary's County, Maryland",179.41680655848367,1.7764040253315216,18.652242265980973,24.8696563546413,134.11850391252986,1611.1984509756899,335.74036078765755,1218.6131613774237,56.84492881060869,1.7764040253315216,112587.0
"Stafford County, Virginia",213.35402220821416,3.4635393215619175,31.864561758369643,25.630190979558193,152.3957301487244,1256.5720658626637,114.29679761154328,1088.936762699067,53.33850555205354,8.312494371748603,144361.0
"Surry County, Virginia",244.49877750611248,0.0,15.28117359413203,30.56234718826406,198.65525672371638,779.3398533007336,275.06112469437653,443.1540342298288,61.12469437652812,0.0,6544.0
"Sussex County, Virginia",78.2336578581363,0.0,8.692628650904034,17.385257301808068,52.1557719054242,669.3324061196106,165.15994436717662,478.0945757997218,26.0778859527121,8.692628650904034,11504.0
"Talbot County, Maryland",59.016041633134826,0.0,29.508020816567413,0.0,29.508020816567413,469.4457857181179,147.54010408283705,319.2231342883202,2.682547346960674,2.682547346960674,37278.0
"Tazewell County, Virginia",99.644128113879,2.372479240806643,40.332147093712926,4.744958481613286,52.19454329774614,894.4246737841045,180.30842230130486,671.41162514828,42.704626334519574,18.979833926453143,42150.0
"Warren County, Virginia",51.07904482186183,0.0,28.09347465202401,0.0,22.985570169837825,564.4234452815732,61.2948537862342,457.1574511556634,45.97114033967565,2.5539522410930915,39155.0
"Washington County, Maryland",128.41668219199957,0.0,4.6575998722486895,23.287999361243447,100.47108295850745,1145.1041971628563,276.7945066936364,799.1110637958108,69.1986266734091,2.6614856412849655,150292.0
"Washington County, Virginia",123.58431401483011,1.8445420002213448,27.668130003320176,5.533626000664035,88.53801601062456,1322.5366141587044,272.9922160327591,957.3172981148782,92.22710001106725,3.6890840004426897,54214.0
"Westmoreland County, Virginia",56.84402000909505,0.0,0.0,0.0,56.84402000909505,613.9154160982265,153.47885402455663,449.06775807185085,11.368804001819008,0.0,17592.0
