,County,h_grad,b_grad,o_occ_r,o_occ_mv,o_m_cst,gos_ret,ps_pr_hh,lv_sm,tvl_t,emp_chg
0,"Amelia County, Virginia",80.8%,14.5%,83.6%,83.6%,"$1,332",$729,2.69,90.6%,38.0,-1.4%
1,"Accomack County, Virginia",82.2%,19.6%,70.0%,70.0%,"$1,147",$771,2.35,93.4%,22.0,4.0%
2,"Albemarle County, Virginia",91.4%,52.3%,63.6%,63.6%,"$1,769","$1,189",2.44,81.3%,21.9,3.2%
3,"Alexandria city, Virginia (County)",91.4%,61.8%,43.1%,43.1%,"$2,648","$1,663",2.23,78.0%,31.8,0.2%
4,"Alleghany County, Virginia",86.5%,15.8%,76.1%,76.1%,$950,$653,2.21,89.3%,24.6,-2.1%
5,"Amherst County, Virginia",84.1%,19.9%,76.9%,76.9%,"$1,127",$731,2.53,88.4%,24.1,-0.1%
6,"Appomattox County, Virginia",84.9%,20.6%,81.0%,81.0%,"$1,077",$683,2.59,96.0%,31.9,7.5%
7,"Arlington County, Virginia",93.9%,74.1%,44.5%,44.5%,"$2,855","$1,895",2.21,79.6%,28.6,0.4%
8,"Augusta County, Virginia",86.9%,23.4%,79.1%,79.1%,"$1,277",$857,2.46,88.1%,23.7,7.8%
9,"Bath County, Virginia",87.5%,15.9%,73.9%,73.9%,$966,$478,2.34,90.0%,24.5,1.1%
10,"Bedford County, Virginia",89.6%,28.3%,81.4%,81.4%,"$1,292",$816,2.48,88.2%,26.9,-0.7%
11,"Bland County, Virginia",88.2%,14.2%,82.6%,82.6%,$960,$639,2.24,87.1%,32.8,3.4%
12,"Botetourt County, Virginia",92.5%,28.3%,85.2%,85.2%,"$1,423",$898,2.48,89.3%,28.3,-5.7%
13,"Bristol city, Virginia (County)",84.4%,23.0%,58.9%,58.9%,$939,$685,2.25,78.3%,21.1,1.2%
14,"Brunswick County, Virginia",78.7%,13.1%,73.9%,73.9%,"$1,045",$693,2.36,88.7%,29.2,-0.9%
15,"Buchanan County, Virginia",71.6%,10.8%,78.9%,78.9%,$946,$611,2.40,92.4%,27.7,-4.3%
16,"Buckingham County, Virginia",76.9%,11.4%,75.3%,75.3%,"$1,021",$721,2.64,89.3%,35.5,3.0%
17,"Buena Vista city, Virginia (County)",83.1%,16.3%,62.3%,62.3%,$961,$742,2.31,83.8%,18.3,-14.6%
18,"Campbell County, Virginia",85.5%,21.5%,75.0%,75.0%,"$1,124",$747,2.42,89.0%,25.3,0.7%
19,"Caroline County, Virginia",83.5%,19.2%,80.1%,80.1%,"$1,400",$996,2.57,83.8%,35.6,1.8%
20,"Carroll County, Virginia",80.9%,14.5%,78.0%,78.0%,$967,$563,2.37,91.0%,25.8,5.6%
21,"Charles City County, Virginia",78.1%,12.8%,83.3%,83.3%,"$1,256",$885,2.42,92.9%,32.7,2.8%
22,"Charlotte County, Virginia",81.4%,11.9%,71.2%,71.2%,"$1,078",$600,2.67,91.5%,31.4,-0.9%
23,"Charlottesville city, Virginia (County)",90.5%,51.4%,44.1%,44.1%,"$1,547","$1,089",2.38,72.7%,17.8,1.0%
24,"Chesapeake city, Virginia (County)",92.0%,31.5%,70.9%,70.9%,"$1,788","$1,201",2.76,86.2%,25.9,1.6%
25,"Chesterfield County, Virginia",91.9%,38.4%,75.3%,75.3%,"$1,537","$1,180",2.74,87.2%,26.4,3.6%
26,"Clarke County, Virginia",86.9%,31.5%,75.0%,75.0%,"$1,842","$1,031",2.54,90.5%,35.6,3.7%
27,"Colonial Heights city, Virginia (County)",90.5%,23.6%,63.0%,63.0%,"$1,278","$1,001",2.45,83.9%,21.7,-0.2%
28,"Covington city, Virginia (County)",83.4%,14.6%,75.2%,75.2%,$779,$688,2.33,86.6%,17.8,-3.2%
29,"Craig County, Virginia",90.6%,19.2%,74.0%,74.0%,"$1,304",$527,2.18,89.1%,37.6,3.4%
30,"Culpeper County, Virginia",84.9%,23.4%,72.9%,72.9%,"$1,748","$1,092",2.87,87.8%,39.7,3.6%
31,"Cumberland County, Virginia",81.5%,16.7%,72.3%,72.3%,"$1,221",$818,2.46,95.0%,40.7,-2.2%
