,County,h_grad,b_grad,o_occ_r,o_occ_mv,ps_pvt,hh_inc,ca_inc,o_m_cst,gos_ret,ps_pr_hh,lv_sm,tvl_t
0,"Amelia County, Virginia",80.8%,14.5%,83.6%,83.6%,11.4%,"$58,535","$26,118","$1,332",$729,2.69,90.6%,38.0
1,"Accomack County, Virginia",82.2%,19.6%,70.0%,70.0%,17.8%,"$42,260","$24,266","$1,147",$771,2.35,93.4%,22.0
2,"Albemarle County, Virginia",91.4%,52.3%,63.6%,63.6%,7.9%,"$72,265","$39,273","$1,769","$1,189",2.44,81.3%,21.9
3,"Alexandria city, Virginia (County)",91.4%,61.8%,43.1%,43.1%,10.1%,"$93,370","$57,019","$2,648","$1,663",2.23,78.0%,31.8
4,"Alleghany County, Virginia",86.5%,15.8%,76.1%,76.1%,14.5%,"$46,020","$25,952",$950,$653,2.21,89.3%,24.6
5,"Amherst County, Virginia",84.1%,19.9%,76.9%,76.9%,12.7%,"$49,677","$24,296","$1,127",$731,2.53,88.4%,24.1
6,"Appomattox County, Virginia",84.9%,20.6%,81.0%,81.0%,11.9%,"$54,875","$26,347","$1,077",$683,2.59,96.0%,31.9
7,"Arlington County, Virginia",93.9%,74.1%,44.5%,44.5%,5.7%,"$112,138","$67,061","$2,855","$1,895",2.21,79.6%,28.6
8,"Augusta County, Virginia",86.9%,23.4%,79.1%,79.1%,8.9%,"$59,544","$30,088","$1,277",$857,2.46,88.1%,23.7
9,"Bath County, Virginia",87.5%,15.9%,73.9%,73.9%,10.1%,"$44,483","$28,195",$966,$478,2.34,90.0%,24.5
10,"Bedford County, Virginia",89.6%,28.3%,81.4%,81.4%,9.0%,"$59,405","$30,633","$1,292",$816,2.48,88.2%,26.9
11,"Bland County, Virginia",88.2%,14.2%,82.6%,82.6%,13.7%,"$46,927","$23,505",$960,$639,2.24,87.1%,32.8
12,"Botetourt County, Virginia",92.5%,28.3%,85.2%,85.2%,6.4%,"$64,733","$34,733","$1,423",$898,2.48,89.3%,28.3
13,"Bristol city, Virginia (County)",84.4%,23.0%,58.9%,58.9%,19.3%,"$37,844","$21,589",$939,$685,2.25,78.3%,21.1
14,"Brunswick County, Virginia",78.7%,13.1%,73.9%,73.9%,21.5%,"$40,871","$20,278","$1,045",$693,2.36,88.7%,29.2
15,"Buchanan County, Virginia",71.6%,10.8%,78.9%,78.9%,27.9%,"$30,828","$19,241",$946,$611,2.40,92.4%,27.7
16,"Buckingham County, Virginia",76.9%,11.4%,75.3%,75.3%,17.5%,"$46,610","$19,702","$1,021",$721,2.64,89.3%,35.5
17,"Buena Vista city, Virginia (County)",83.1%,16.3%,62.3%,62.3%,14.0%,"$33,672","$17,969",$961,$742,2.31,83.8%,18.3
18,"Campbell County, Virginia",85.5%,21.5%,75.0%,75.0%,11.3%,"$48,823","$26,417","$1,124",$747,2.42,89.0%,25.3
19,"Caroline County, Virginia",83.5%,19.2%,80.1%,80.1%,9.6%,"$60,925","$28,039","$1,400",$996,2.57,83.8%,35.6
20,"Carroll County, Virginia",80.9%,14.5%,78.0%,78.0%,16.8%,"$41,145","$23,690",$967,$563,2.37,91.0%,25.8
21,"Charles City County, Virginia",78.1%,12.8%,83.3%,83.3%,12.0%,"$55,069","$32,689","$1,256",$885,2.42,92.9%,32.7
22,"Charlotte County, Virginia",81.4%,11.9%,71.2%,71.2%,17.4%,"$38,350","$19,830","$1,078",$600,2.67,91.5%,31.4
23,"Charlottesville city, Virginia (County)",90.5%,51.4%,44.1%,44.1%,20.3%,"$54,739","$32,860","$1,547","$1,089",2.38,72.7%,17.8
24,"Chesapeake city, Virginia (County)",92.0%,31.5%,70.9%,70.9%,9.3%,"$72,214","$32,123","$1,788","$1,201",2.76,86.2%,25.9
25,"Chesterfield County, Virginia",91.9%,38.4%,75.3%,75.3%,6.7%,"$76,969","$35,370","$1,537","$1,180",2.74,87.2%,26.4
26,"Clarke County, Virginia",86.9%,31.5%,75.0%,75.0%,6.7%,"$72,129","$38,658","$1,842","$1,031",2.54,90.5%,35.6
27,"Colonial Heights city, Virginia (County)",90.5%,23.6%,63.0%,63.0%,9.8%,"$50,952","$27,608","$1,278","$1,001",2.45,83.9%,21.7
28,"Covington city, Virginia (County)",83.4%,14.6%,75.2%,75.2%,15.9%,"$35,546","$22,098",$779,$688,2.33,86.6%,17.8
29,"Craig County, Virginia",90.6%,19.2%,74.0%,74.0%,11.7%,"$53,526","$26,753","$1,304",$527,2.18,89.1%,37.6
30,"Culpeper County, Virginia",84.9%,23.4%,72.9%,72.9%,9.9%,"$69,693","$29,979","$1,748","$1,092",2.87,87.8%,39.7
31,"Cumberland County, Virginia",81.5%,16.7%,72.3%,72.3%,15.3%,"$43,020","$23,488","$1,221",$818,2.46,95.0%,40.7
32,"Danville city, Virginia (County)",80.5%,18.9%,53.2%,53.2%,24.4%,"$34,951","$21,882",$955,$628,2.18,85.7%,20.1
33,"Dickenson County, Virginia",74.5%,9.3%,76.0%,76.0%,25.0%,"$29,916","$21,082",$895,$569,2.42,94.5%,29.6
34,"Dinwiddie County, Virginia",82.6%,16.6%,77.1%,77.1%,10.1%,"$54,640","$25,981","$1,306",$945,2.64,87.1%,29.2
35,"Emporia city, Virginia (County)",76.5%,15.3%,42.6%,42.6%,23.4%,"$27,426","$18,548",$964,$738,2.48,78.6%,17.9
36,"Essex County, Virginia",82.6%,18.9%,70.5%,70.5%,13.6%,"$50,629","$25,730","$1,227",$864,2.44,88.7%,35.0
37,"Fairfax city, Virginia (County)",92.2%,56.9%,70.0%,70.0%,7.7%,"$106,870","$46,489","$2,521","$1,803",2.70,85.2%,31.2
38,"Fairfax County, Virginia",92.0%,60.7%,67.8%,67.8%,6.7%,"$117,515","$52,976","$2,568","$1,823",2.88,85.2%,32.1
