GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
0500000US24001,24001,"Allegany County, Maryland",75087,75087,75021,74586,73975,73618,73045,72531,72130
0500000US24003,24003,"Anne Arundel County, Maryland",537656,537650,539310,545017,550641,555897,559966,563837,568346
0500000US24005,24005,"Baltimore County, Maryland",805029,804911,806241,813169,818282,823295,826518,829209,831026
0500000US24009,24009,"Calvert County, Maryland",88737,88736,88945,89291,89685,90477,90601,90620,91251
0500000US24011,24011,"Caroline County, Maryland",33066,33081,33062,32912,32640,32658,32524,32591,32850
0500000US24013,24013,"Carroll County, Maryland",167134,167138,167210,167238,167191,167476,167700,167651,167656
0500000US24015,24015,"Cecil County, Maryland",101108,101108,101163,101635,101776,101917,102180,102397,102603
0500000US24017,24017,"Charles County, Maryland",146551,146560,147148,149282,150770,152821,154567,155923,157705
0500000US24019,24019,"Dorchester County, Maryland",32618,32618,32655,32694,32476,32595,32537,32391,32258
0500000US24021,24021,"Frederick County, Maryland",233385,233382,234202,237322,239610,241180,243569,245377,247591
0500000US24023,24023,"Garrett County, Maryland",30097,30095,30084,30101,29904,29952,29658,29446,29425
0500000US24025,24025,"Harford County, Maryland",244826,244828,245240,246704,248661,249210,249839,250138,251032
0500000US24027,24027,"Howard County, Maryland",287085,287129,288674,293898,299605,304534,308151,312711,317233
0500000US24029,24029,"Kent County, Maryland",20197,20191,20192,20238,19986,19819,19793,19768,19730
0500000US24031,24031,"Montgomery County, Maryland",971777,971952,976321,992928,1006218,1017759,1027780,1036233,1043863
0500000US24033,24033,"Prince George's County, Maryland",863420,863379,865821,874983,882465,891302,900647,906003,908049
0500000US24035,24035,"Queen Anne's County, Maryland",47798,47788,47835,48329,48520,48495,48727,48889,48929
0500000US24037,24037,"St. Mary's County, Maryland",105151,105148,105752,107781,109071,109607,110483,111628,112587
0500000US24039,24039,"Somerset County, Maryland",26470,26470,26480,26330,26117,26049,25653,25746,25928
0500000US24041,24041,"Talbot County, Maryland",37782,37782,37884,37973,38055,37914,37569,37523,37278
0500000US24043,24043,"Washington County, Maryland",147430,147430,147735,148827,149215,149321,149459,149570,150292
0500000US24045,24045,"Wicomico County, Maryland",98733,98733,98937,100113,100555,100944,101538,102019,102577
0500000US24047,24047,"Worcester County, Maryland",51454,51451,51477,51437,51511,51431,51438,51380,51444
0500000US24510,24510,"Baltimore city, Maryland",620961,621139,621195,620815,622722,622858,623353,621402,614664
