GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
0500000US51001,51001,"Accomack County, Virginia",33164,33164,33164,33292,33324,33012,33024,32995,32947
0500000US51003,51003,"Albemarle County, Virginia",98970,98998,99240,100621,101920,102799,104235,105603,106878
0500000US51005,51005,"Alleghany County, Virginia",16250,16261,16212,16335,16239,16193,15884,15685,15595
0500000US51007,51007,"Amelia County, Virginia",12690,12695,12742,12754,12731,12687,12764,12869,12913
0500000US51009,51009,"Amherst County, Virginia",32353,32354,32386,32127,32458,32209,32060,31636,31633
0500000US51011,51011,"Appomattox County, Virginia",14973,14977,15036,15017,15154,15239,15273,15428,15475
0500000US51013,51013,"Arlington County, Virginia",207627,207676,209449,216504,221625,225187,225702,227897,230050
0500000US51015,51015,"Augusta County, Virginia",73750,73732,73475,73841,73807,74113,74198,74537,74997
0500000US51017,51017,"Bath County, Virginia",4731,4727,4713,4662,4644,4608,4560,4502,4476
0500000US51019,51019,"Bedford County, Virginia",68676,74871,75003,75553,75776,76192,77087,77648,77960
0500000US51021,51021,"Bland County, Virginia",6824,6824,6811,6769,6699,6685,6600,6565,6513
0500000US51023,51023,"Botetourt County, Virginia",33148,33148,33181,33068,33182,33040,33128,33378,33231
0500000US51025,51025,"Brunswick County, Virginia",17434,17425,17406,17144,17040,16636,16473,16473,16243
0500000US51027,51027,"Buchanan County, Virginia",24098,24095,24041,23940,23920,23691,23223,22780,22178
0500000US51029,51029,"Buckingham County, Virginia",17146,17140,17109,17176,17048,17142,16916,16996,17048
0500000US51031,51031,"Campbell County, Virginia",54842,54849,54929,54932,54910,55102,55182,55161,54952
0500000US51033,51033,"Caroline County, Virginia",28545,28558,28646,28709,28987,29294,29803,29940,30178
0500000US51035,51035,"Carroll County, Virginia",30042,30067,30066,30085,29920,29856,29622,29736,29531
0500000US51036,51036,"Charles City County, Virginia",7256,7256,7271,7244,7165,7106,7016,7072,7071
0500000US51037,51037,"Charlotte County, Virginia",12586,12591,12564,12510,12414,12285,12155,12177,12129
0500000US51041,51041,"Chesterfield County, Virginia",316236,316262,317342,320493,324124,327985,332537,335539,339009
0500000US51043,51043,"Clarke County, Virginia",14034,14029,14038,14194,14267,14269,14334,14291,14374
0500000US51045,51045,"Craig County, Virginia",5190,5173,5175,5230,5200,5191,5233,5193,5158
0500000US51047,51047,"Culpeper County, Virginia",46689,46691,46850,47335,47778,48462,49068,49369,50083
0500000US51049,51049,"Cumberland County, Virginia",10052,10039,10029,10010,9848,9834,9816,9696,9652
0500000US51051,51051,"Dickenson County, Virginia",15903,15892,15870,15764,15674,15464,15281,15135,14968
0500000US51053,51053,"Dinwiddie County, Virginia",28001,28005,28021,28197,28306,28228,28129,27967,28144
0500000US51057,51057,"Essex County, Virginia",11151,11146,11148,11197,11156,11180,11071,11122,11123
0500000US51059,51059,"Fairfax County, Virginia",1081726,1081685,1086767,1105410,1120382,1132543,1135388,1137472,1138652
0500000US51061,51061,"Fauquier County, Virginia",65203,65275,65481,66153,66677,67302,68379,68696,69069
0500000US51063,51063,"Floyd County, Virginia",15279,15292,15354,15419,15449,15533,15584,15640,15731
0500000US51065,51065,"Fluvanna County, Virginia",25691,25704,25760,25965,25898,25851,26009,26199,26271
0500000US51067,51067,"Franklin County, Virginia",56159,56138,56183,56391,56327,56298,56228,56229,56069
0500000US51069,51069,"Frederick County, Virginia",78305,78308,78584,79529,80238,81316,82454,83177,84421
0500000US51071,51071,"Giles County, Virginia",17286,17286,17316,17115,16979,16946,16808,16767,16857
0500000US51073,51073,"Gloucester County, Virginia",36858,36858,36939,36904,36909,36806,37120,37058,37214
0500000US51075,51075,"Goochland County, Virginia",21717,21699,21741,21436,21340,21637,21934,22315,22668
0500000US51077,51077,"Grayson County, Virginia",15533,15552,15499,15412,15232,15230,15161,15169,15107
0500000US51079,51079,"Greene County, Virginia",18403,18410,18482,18727,18851,18894,19102,19206,19371
0500000US51081,51081,"Greensville County, Virginia",12243,12245,12215,12004,11745,11644,11527,11869,11706
0500000US51083,51083,"Halifax County, Virginia",36241,36241,36155,36017,35791,35393,35219,35128,34992
0500000US51085,51085,"Hanover County, Virginia",99863,99850,99939,99976,100421,101167,101846,103171,104392
0500000US51087,51087,"Henrico County, Virginia",306935,306974,307633,310844,315877,319402,322685,325142,326501
0500000US51089,51089,"Henry County, Virginia",54151,54185,54157,53380,52950,52659,52168,51821,51445
0500000US51091,51091,"Highland County, Virginia",2321,2319,2294,2285,2252,2223,2252,2208,2216
0500000US51093,51093,"Isle of Wight County, Virginia",35270,35274,35315,35319,35431,35665,36048,36393,36596
0500000US51095,51095,"James City County, Virginia",67009,67393,67734,68200,69326,70585,72104,73081,74404
0500000US51097,51097,"King and Queen County, Virginia",6945,6945,6969,7032,7070,7107,7168,7197,7159
0500000US51099,51099,"King George County, Virginia",23584,23584,23680,24286,24615,24933,25310,25456,25984
0500000US51101,51101,"King William County, Virginia",15935,15927,15986,15990,15979,16092,16143,16231,16334
0500000US51103,51103,"Lancaster County, Virginia",11391,11394,11371,11341,11223,11106,10994,10982,10972
0500000US51105,51105,"Lee County, Virginia",25587,25583,25530,25661,25556,25207,24903,24712,24179
0500000US51107,51107,"Loudoun County, Virginia",312311,312336,315585,326921,338196,350678,362798,374559,385945
0500000US51109,51109,"Louisa County, Virginia",33153,33223,33359,33528,33535,34014,34349,34618,35236
0500000US51111,51111,"Lunenburg County, Virginia",12914,12916,12905,12908,12633,12525,12483,12337,12273
0500000US51113,51113,"Madison County, Virginia",13308,13308,13287,13175,13180,13149,13109,13092,13078
0500000US51115,51115,"Mathews County, Virginia",8978,8976,8959,8949,8903,8901,8789,8866,8782
0500000US51117,51117,"Mecklenburg County, Virginia",32727,32721,32695,32568,31738,31277,31126,31011,30892
0500000US51119,51119,"Middlesex County, Virginia",10959,10959,10970,10830,10817,10737,10633,10676,10778
0500000US51121,51121,"Montgomery County, Virginia",94392,94412,94597,94838,95736,96812,97348,97636,98602
0500000US51125,51125,"Nelson County, Virginia",15020,15020,14992,15039,14825,14798,14873,14788,14869
0500000US51127,51127,"New Kent County, Virginia",18429,18432,18558,18773,19159,19504,20019,20424,21147
0500000US51131,51131,"Northampton County, Virginia",12389,12389,12388,12419,12214,12036,12064,12139,12139
0500000US51133,51133,"Northumberland County, Virginia",12330,12327,12348,12420,12366,12251,12265,12256,12222
0500000US51135,51135,"Nottoway County, Virginia",15853,15852,15834,15895,15775,15663,15519,15651,15595
0500000US51137,51137,"Orange County, Virginia",33481,33434,33480,33861,34166,34548,34873,35244,35533
0500000US51139,51139,"Page County, Virginia",24042,24055,24053,23997,23885,23752,23827,23679,23654
0500000US51141,51141,"Patrick County, Virginia",18490,18495,18479,18372,18406,18303,18228,18041,17923
0500000US51143,51143,"Pittsylvania County, Virginia",63506,63491,63600,63445,63032,62678,62483,62079,61687
0500000US51145,51145,"Powhatan County, Virginia",28046,28062,28118,28121,28172,28290,28477,28047,28443
0500000US51147,51147,"Prince Edward County, Virginia",23368,23357,23351,23192,23188,22781,23055,23221,23142
0500000US51149,51149,"Prince George County, Virginia",35725,35714,35633,36755,37152,37470,37545,38308,37845
0500000US51153,51153,"Prince William County, Virginia",402002,401972,406385,419670,430368,438531,443863,450179,455210
0500000US51155,51155,"Pulaski County, Virginia",34872,34859,34806,34746,34746,34512,34315,34308,34203
0500000US51157,51157,"Rappahannock County, Virginia",7373,7506,7500,7499,7454,7475,7361,7401,7388
0500000US51159,51159,"Richmond County, Virginia",9254,9254,9268,9184,9037,8916,8841,8774,8774
0500000US51161,51161,"Roanoke County, Virginia",92376,92439,92408,92958,92991,93616,93720,93916,94031
0500000US51163,51163,"Rockbridge County, Virginia",22307,22310,22294,22544,22474,22458,22488,22437,22392
0500000US51165,51165,"Rockingham County, Virginia",76314,76310,76368,77125,77429,77784,78318,78860,79744
0500000US51167,51167,"Russell County, Virginia",28897,28896,28856,28662,28421,28265,27998,27809,27370
0500000US51169,51169,"Scott County, Virginia",23177,23170,23131,22968,22799,22626,22373,22160,21930
0500000US51171,51171,"Shenandoah County, Virginia",41993,41993,42058,42297,42615,42599,42845,43051,43175
0500000US51173,51173,"Smyth County, Virginia",32208,32208,32187,32025,31872,31727,31513,31389,31062
0500000US51175,51175,"Southampton County, Virginia",18570,18570,18628,18710,18575,18373,18282,18167,18057
0500000US51177,51177,"Spotsylvania County, Virginia",122397,122660,123174,124835,126194,127779,129318,130603,132010
0500000US51179,51179,"Stafford County, Virginia",128961,128952,129845,132266,134472,137071,140046,141792,144361
0500000US51181,51181,"Surry County, Virginia",7058,7065,7060,6943,6851,6798,6793,6670,6544
0500000US51183,51183,"Sussex County, Virginia",12087,12070,12000,12087,11929,11783,11731,11720,11504
0500000US51185,51185,"Tazewell County, Virginia",45078,45078,45147,44687,44242,44081,43429,42934,42150
0500000US51187,51187,"Warren County, Virginia",37575,37431,37515,37670,37996,38631,39105,39147,39155
0500000US51191,51191,"Washington County, Virginia",54876,54870,54891,54745,55047,54721,54534,54294,54214
0500000US51193,51193,"Westmoreland County, Virginia",17454,17454,17450,17633,17518,17553,17423,17553,17592
0500000US51195,51195,"Wise County, Virginia",41452,41476,41617,41426,40890,40672,39925,39654,39228
0500000US51197,51197,"Wythe County, Virginia",29235,29232,29226,29191,29300,29289,29059,29191,29016
0500000US51199,51199,"York County, Virginia",65464,65189,65208,65882,65902,66128,66628,67963,67976
0500000US51510,51510,"Alexandria city, Virginia",139966,140006,140874,144651,147357,149819,151206,153172,155810
0500000US51520,51520,"Bristol city, Virginia",17835,17841,17852,17810,17797,17486,17302,17157,16960
